user serverEndGame createGame userEndGameConflict userCancelActiveGame serverEndGameConflict serverCancelActiveGame serverForceGameEnd session_count
user159 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user160 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user161 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user162 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user163 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user164 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user165 0.0 1.0 0.0 0.0 0.0 0.0 0.0 15
user166 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user167 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user168 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user169 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user170 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user171 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user172 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user173 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user174 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user175 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user176 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user177 0.0 1.0 0.0 0.0 0.0 0.0 0.0 26
