user withdrawHeroToAssetOwnerByAdmin mintHero depositHeroToGateway session_count
user293 0.0 0.0 1.0 1
user294 0.0 0.0 1.0 8
user890 0.0 0.0 1.0 8
user295 0.0 0.0 1.0 5
user296 0.0 0.0 1.0 6
user297 0.0 0.0 1.0 4
user298 0.0 0.0 1.0 43
user299 0.0 0.0 1.0 18
user300 0.0 0.0 1.0 3
user301 0.0 0.0 1.0 9
user302 0.0 0.0 1.0 1
user303 0.0 0.0 1.0 10
user304 0.0 0.0 1.0 5
user982 0.0 0.0 1.0 1
user1140 0.0 0.0 1.0 9
user1352 0.0 0.0 1.0 8
user305 0.0 0.0 1.0 6
user306 0.0 0.0 1.0 18
user835 0.0 0.0 1.0 3
user307 0.0 0.0 1.0 13
user846 0.0 0.0 1.0 3
user308 0.0 0.0 1.0 6
user309 0.0 0.0 1.0 3
user614 0.0 0.0 1.0 2
user310 0.0 0.0 1.0 1
user1069 0.0 0.0 1.0 8
user312 0.0 0.0 1.0 1
user759 0.0 0.0 1.0 2
user1313 0.0 0.0 1.0 1
user313 0.0 0.0 1.0 6
user645 0.0 0.0 1.0 7
user314 0.0 0.0 1.0 1
user315 0.0 0.0 1.0 1
user317 0.0 0.0 1.0 2
user318 0.0 0.0 1.0 4
user319 0.0 0.0 1.0 1
user320 0.0 0.0 1.0 8
user321 0.0 0.0 1.0 2
user322 0.0 0.0 1.0 3
user324 0.0 0.0 1.0 3
user325 0.0 0.0 1.0 1
user395 0.0 0.0 1.0 57
user326 0.0 0.0 1.0 7
user327 0.0 0.0 1.0 6
user1100 0.0 0.0 1.0 15
user329 0.0 0.0 1.0 6
user330 0.0 0.0 1.0 3
user333 0.0 0.0 1.0 7
user334 0.0 0.0 1.0 1
user1436 0.0 0.0 1.0 2
user336 0.0 0.0 1.0 4
user339 0.0 0.0 1.0 4
user718 0.0 0.0 1.0 3
user717 0.0 0.0 1.0 3
user340 0.0 0.0 1.0 5
user341 0.0 0.0 1.0 11
user349 0.0 0.0 1.0 11
user1177 0.0 0.0 1.0 11
user807 0.0 0.0 1.0 7
user1191 0.0 0.0 1.0 16
user343 0.0 0.0 1.0 2
user1470 0.0 0.0 1.0 18
user344 0.0 0.0 1.0 1
user815 0.0 0.0 1.0 1
user1189 0.0 0.0 1.0 18
user345 0.0 0.0 1.0 13
user347 0.0 0.0 1.0 48
user922 0.0 0.0 1.0 7
user965 0.0 0.0 1.0 12
user1243 0.0 0.0 1.0 7
user350 0.0 0.0 1.0 3
user351 0.0 0.0 1.0 20
user352 0.0 0.0 1.0 12
user1315 0.0 0.0 1.0 9
user353 0.0 0.0 1.0 1
user574 0.0 0.0 1.0 12
user354 0.0 0.0 1.0 8
user355 0.0 0.0 1.0 3
user356 0.0 0.0 1.0 1
user357 0.0 0.0 1.0 7
user358 0.0 0.0 1.0 1
user1404 0.0 0.0 1.0 1
user359 0.0 0.0 1.0 3
user360 0.0 0.0 1.0 15
user903 0.0 0.0 1.0 13
user383 0.0 0.0 1.0 21
user1032 0.0 0.0 1.0 24
user1159 0.0 0.0 1.0 16
user361 0.0 0.0 1.0 6
user362 0.0 0.0 1.0 1
user363 0.0 0.0 1.0 3
user1492 0.0 0.0 1.0 7
user364 0.0 0.0 1.0 1
user1142 0.0 0.0 1.0 17
user365 0.0 0.0 1.0 3
user366 0.0 0.0 1.0 1
user769 0.0 0.0 1.0 5
user1175 0.0 0.0 1.0 10
user367 0.0 0.0 1.0 21
user368 0.0 0.0 1.0 10
user369 0.0 0.0 1.0 6
user370 0.0 0.0 1.0 4
user1016 0.0 0.0 1.0 14
user338 0.0 0.0 1.0 6
user1350 0.0 0.0 1.0 5
user681 0.0 0.0 1.0 5
user1331 0.0 0.0 1.0 5
user738 0.0 0.0 1.0 3
user737 0.0 0.0 1.0 3
user425 0.0 0.0 1.0 9
user371 0.0 0.0 1.0 6
user372 0.0 0.0 1.0 3
user373 0.0 0.0 1.0 4
user374 0.0 0.0 1.0 7
user1343 0.0 0.0 1.0 5
user526 0.0 0.0 1.0 9
user376 0.0 0.0 1.0 1
user377 0.0 0.0 1.0 3
user378 0.0 0.0 1.0 11
user380 0.0 0.0 1.0 4
user1011 0.0 0.0 1.0 4
user1357 0.0 0.0 1.0 6
user381 0.0 0.0 1.0 6
user382 0.0 0.0 1.0 1
user891 0.0 0.0 1.0 6
user384 0.0 0.0 1.0 11
user1119 0.0 0.0 1.0 5
user385 0.0 0.0 1.0 1
user677 0.0 0.0 1.0 4
user1172 0.0 0.0 1.0 6
user974 0.0 0.0 1.0 8
user386 0.0 0.0 1.0 2
user387 0.0 0.0 1.0 7
user388 0.0 0.0 1.0 1
user389 0.0 0.0 1.0 4
user551 0.0 0.0 1.0 6
user988 0.0 0.0 1.0 6
user390 0.0 0.0 1.0 2
user391 0.0 0.0 1.0 7
user392 0.0 0.0 1.0 1
user393 0.0 0.0 1.0 1
user394 0.0 0.0 1.0 1
user1394 0.0 0.0 1.0 1
user397 0.0 0.0 1.0 12
user398 0.0 0.0 1.0 1
user399 0.0 0.0 1.0 1
user400 0.0 0.0 1.0 1
user1434 0.0 0.0 1.0 8
user402 0.0 0.0 1.0 7
user791 0.0 0.0 1.0 4
user403 0.0 0.0 1.0 6
user1237 0.0 0.0 1.0 2
user404 0.0 0.0 1.0 5
user405 0.0 0.0 1.0 8
user406 0.0 0.0 1.0 3
user407 0.0 0.0 1.0 1
user1251 0.0 0.0 1.0 11
user409 0.0 0.0 1.0 1
user411 0.0 0.0 1.0 7
user880 0.0 0.0 1.0 7
user1170 0.0 0.0 1.0 8
user412 0.0 0.0 1.0 2
user1257 0.0 0.0 1.0 3
user413 0.0 0.0 1.0 5
user414 0.0 0.0 1.0 1
user415 0.0 0.0 1.0 9
user416 0.0 0.0 1.0 8
user1481 0.0 0.0 1.0 5
user417 0.0 0.0 1.0 3
user418 0.0 0.0 1.0 4
user420 0.0 0.0 1.0 1
user421 0.0 0.0 1.0 2
user422 0.0 0.0 1.0 4
user423 0.0 0.0 1.0 2
user424 0.0 0.0 1.0 4
user426 0.0 0.0 1.0 9
user765 0.0 0.0 1.0 1
user427 0.0 0.0 1.0 7
user428 0.0 0.0 1.0 5
user429 0.0 0.0 1.0 3
user430 0.0 0.0 1.0 5
user1302 0.0 0.0 1.0 10
user431 0.0 0.0 1.0 6
user432 0.0 0.0 1.0 5
user433 0.0 0.0 1.0 6
user434 0.0 0.0 1.0 2
user521 0.0 0.0 1.0 9
user435 0.0 0.0 1.0 7
user436 0.0 0.0 1.0 2
user437 0.0 0.0 1.0 18
user438 0.0 0.0 1.0 4
user827 0.0 0.0 1.0 6
user440 0.0 0.0 1.0 7
user1132 0.0 0.0 1.0 8
user899 0.0 0.0 1.0 5
user1104 0.0 0.0 1.0 2
user1093 0.0 0.0 1.0 5
user1094 0.0 0.0 1.0 5
user441 0.0 0.0 1.0 7
user1307 0.0 0.0 1.0 4
user443 0.0 0.0 1.0 8
