user oboCreateDigitalMediaAndReleases approve safeTransferFrom burnToken burnDigitalMedia transferFrom burn oboCreateDigitalMediaReleases session_count
user305 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user365 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user186 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 4
user190 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user178 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user179 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 7
user411 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user198 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user182 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user181 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user188 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 28
user183 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user203 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user230 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user231 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user295 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user290 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user208 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user193 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 14
user723 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user314 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user281 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 6
user211 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user327 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 4
user270 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user640 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user309 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user333 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 15
user210 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 5
user216 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 3
user301 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user562 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user719 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user224 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user225 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user435 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user237 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 13
user256 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user39 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 12
user302 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 28
user226 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user556 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 2
user518 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user239 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 6243
user663 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user311 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user244 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 8
user260 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 24
user250 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user261 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user251 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user275 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 9
user374 0.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 4
user262 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 14
user575 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 14
user274 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user357 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 7
user521 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user346 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user228 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user276 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user479 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user277 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user338 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 5
user271 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user461 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user264 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user331 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user285 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 23
user359 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user360 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user464 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user296 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 3
user573 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user298 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user444 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user421 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user344 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user566 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user387 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 8
user369 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 5
user324 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user358 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user99 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user402 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user512 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user334 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user328 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user528 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user329 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user467 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user232 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user345 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user388 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user441 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user339 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user342 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user437 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user470 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 17
user493 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user393 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 6
user352 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user353 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 4291
user724 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user240 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user356 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user362 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 9
user459 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user364 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user740 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 12
user383 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user552 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user108 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 9
user454 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user487 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user400 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user377 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 4
user473 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user412 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user376 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 9
user481 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user389 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user386 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user394 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user415 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user425 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 3
user426 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user457 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 12
user519 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3
user443 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user405 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user409 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 10
user495 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user428 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user442 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user501 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user593 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user478 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user645 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user504 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user427 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 15
user429 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user477 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user472 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user722 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user600 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user430 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 9
user586 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user543 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user508 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user509 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user267 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user525 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user551 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 23
user414 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user515 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user523 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 7
user455 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 9
user482 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 2
user494 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 14
user475 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 8
user465 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user436 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user491 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user499 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 15
user540 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user601 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user520 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 7
user497 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user498 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user559 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user538 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 2
user530 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user651 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user568 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user717 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 7
user558 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user561 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 14
user608 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 7
user607 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user579 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user581 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user639 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user621 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 2
user628 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3
user583 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user678 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user587 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user605 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user585 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user599 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user592 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user588 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user591 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user665 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user626 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user597 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user606 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user595 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user611 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3
user718 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user627 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user644 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user700 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 5
