user  totalDuration  totalTxs  minDurationPerTx   meanDurationPerTx  maxDurationPerTx
user686 29 4 4 9.333333333333334 15
user687 1 1 0 0 0
user688 1 1 0 0 0
user689 1 1 0 0 0
user690 1 1 0 0 0
user691 1 1 0 0 0
user692 1 1 0 0 0
user693 1 1 0 0 0
user694 1 1 0 0 0
user695 1 1 0 0 0
user696 1 1 0 0 0
user697 1 1 0 0 0
user698 1 1 0 0 0
user699 3 2 2 2.0 2
user700 9666 6 3 1933.0 3915
user701 1 1 0 0 0
user702 49311 2 49310 49310.0 49310
user703 19686 2 19685 19685.0 19685
user704 1 1 0 0 0
user705 1 1 0 0 0
user706 48 3 10 23.5 37
user707 727 2 726 726.0 726
user708 1 1 0 0 0
user709 23324 3 5 11661.5 23318
user710 1 1 0 0 0
user711 1 1 0 0 0
user712 1 1 0 0 0
user713 1 1 0 0 0
user714 1 1 0 0 0
user715 1 1 0 0 0
user716 1 1 0 0 0
user717 15470 7 2 2578.1666666666665 15350
user718 1 1 0 0 0
user719 1 1 0 0 0
user720 1 1 0 0 0
user721 1 1 0 0 0
user722 1 1 0 0 0
user723 13878 2 13877 13877.0 13877
user724 1 1 0 0 0
user725 19131 3 4 9565.0 19126
user726 1 1 0 0 0
user727 1 1 0 0 0
user728 1 1 0 0 0
user729 1 1 0 0 0
user730 11362 3 2 5680.5 11359
user731 1 1 0 0 0
user732 1 1 0 0 0
user733 1 1 0 0 0
user734 284 2 283 283.0 283
user735 1 1 0 0 0
user736 1 1 0 0 0
user737 1 1 0 0 0
user738 1 1 0 0 0
user739 1 1 0 0 0
user740 2317 12 0 210.54545454545453 2096
user741 1 1 0 0 0
user742 1 1 0 0 0
user743 31 3 7 15.0 23
user744 1 1 0 0 0
user745 1 1 0 0 0
user746 1 1 0 0 0
user747 1 1 0 0 0
user748 1 1 0 0 0
