user punkNoLongerForSale withdrawBidForPunk transferPunk setInitialOwner buyPunk getPunk enterBidForPunk acceptBidForPunk offerPunkForSale offerPunkForSaleToAddress session_count
user292 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 9
user470 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 143
user736 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1
user488 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 2
user51 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 5
user616 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 93
user932 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user892 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 25
user593 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 70
user762 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 4
user698 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 10
user42 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 11
user781 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 59
user665 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 7
user88 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 35
user440 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 7
user43 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 29
user142 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 2
user40 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 100
user1323 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 1
user1390 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user38 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 121
user281 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 21
user91 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1
user662 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user1466 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 7
user1483 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 8
user73 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 18
user343 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 12
user581 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user689 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user1120 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user732 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user548 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 4
user1243 1.0 1.0 1.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 16
user1339 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
