user acceptBid setSalePrice bid transfer cancelBid buy session_count
user106 0.0 0.0 1.0 0.0 0.0 0.0 1
user186 1.0 1.0 1.0 1.0 1.0 1.0 45
user135 0.0 1.0 1.0 0.0 1.0 0.0 2
user300 0.0 0.0 1.0 0.0 0.0 0.0 1
user636 0.0 0.0 1.0 0.0 1.0 0.0 3
user94 0.0 0.0 1.0 0.0 0.0 0.0 1
user599 0.0 1.0 0.0 0.0 0.0 0.0 3
user647 0.0 0.0 1.0 0.0 0.0 1.0 4
user597 0.0 1.0 0.0 1.0 0.0 0.0 4
user156 0.0 0.0 1.0 0.0 1.0 0.0 4
user573 0.0 0.0 1.0 0.0 0.0 1.0 3
user1019 0.0 1.0 1.0 0.0 1.0 1.0 5
user100 0.0 0.0 1.0 0.0 0.0 0.0 1
user1085 0.0 0.0 1.0 0.0 1.0 0.0 4
user1087 0.0 0.0 1.0 0.0 0.0 0.0 1
user1083 0.0 0.0 1.0 1.0 0.0 1.0 2
user525 0.0 0.0 1.0 0.0 0.0 1.0 2
user99 1.0 1.0 0.0 1.0 0.0 0.0 13
user101 1.0 1.0 0.0 0.0 0.0 0.0 8
user103 1.0 1.0 1.0 1.0 1.0 1.0 47
user126 0.0 0.0 1.0 0.0 1.0 0.0 1
user871 0.0 1.0 1.0 0.0 0.0 0.0 2
user873 0.0 0.0 1.0 0.0 0.0 0.0 1
user877 0.0 0.0 1.0 0.0 0.0 0.0 1
user111 0.0 0.0 1.0 0.0 0.0 0.0 3
user420 1.0 1.0 1.0 1.0 1.0 1.0 24
user139 0.0 0.0 0.0 0.0 0.0 1.0 1
user284 0.0 0.0 1.0 0.0 1.0 0.0 15
user723 0.0 1.0 1.0 0.0 1.0 0.0 11
user1100 0.0 0.0 1.0 0.0 0.0 0.0 1
user102 1.0 1.0 1.0 1.0 1.0 0.0 48
user1057 0.0 0.0 1.0 0.0 0.0 1.0 2
user110 1.0 1.0 1.0 1.0 0.0 1.0 51
user134 0.0 0.0 1.0 0.0 1.0 0.0 4
user143 0.0 1.0 1.0 0.0 0.0 0.0 3
user366 0.0 0.0 1.0 0.0 0.0 0.0 3
user544 0.0 1.0 1.0 0.0 1.0 1.0 22
user609 0.0 0.0 1.0 0.0 1.0 0.0 2
user624 0.0 0.0 1.0 0.0 1.0 0.0 3
user288 0.0 0.0 1.0 1.0 0.0 0.0 2
user501 0.0 1.0 1.0 0.0 1.0 1.0 13
user596 0.0 0.0 1.0 0.0 0.0 0.0 1
user673 0.0 0.0 1.0 0.0 0.0 1.0 5
user1048 0.0 0.0 0.0 1.0 0.0 0.0 2
user523 0.0 0.0 1.0 0.0 1.0 0.0 12
user113 1.0 1.0 0.0 0.0 0.0 0.0 6
user243 0.0 0.0 1.0 1.0 0.0 0.0 3
user122 0.0 1.0 0.0 1.0 0.0 0.0 10
user124 0.0 0.0 1.0 0.0 1.0 0.0 3
user294 1.0 1.0 1.0 1.0 1.0 1.0 32
user1082 0.0 0.0 1.0 0.0 1.0 0.0 1
user703 0.0 0.0 1.0 0.0 1.0 1.0 5
user141 0.0 1.0 1.0 0.0 1.0 1.0 3
user130 1.0 1.0 0.0 0.0 0.0 0.0 10
user152 0.0 0.0 1.0 0.0 1.0 0.0 1
user131 1.0 1.0 0.0 0.0 0.0 0.0 6
user684 0.0 0.0 1.0 0.0 1.0 0.0 1
user133 0.0 1.0 0.0 0.0 0.0 0.0 1
user1056 0.0 1.0 1.0 0.0 1.0 0.0 12
user672 1.0 1.0 1.0 0.0 1.0 1.0 14
user132 1.0 1.0 0.0 0.0 0.0 0.0 19
user162 0.0 1.0 0.0 0.0 0.0 1.0 2
user237 0.0 1.0 1.0 0.0 1.0 1.0 16
user137 1.0 1.0 1.0 1.0 0.0 0.0 14
user883 0.0 0.0 1.0 0.0 1.0 1.0 2
user895 0.0 0.0 1.0 0.0 1.0 0.0 2
user898 0.0 0.0 1.0 1.0 1.0 1.0 2
user632 0.0 1.0 0.0 0.0 0.0 1.0 2
user786 0.0 0.0 1.0 0.0 1.0 0.0 3
user816 0.0 0.0 1.0 1.0 1.0 1.0 8
user830 1.0 1.0 1.0 0.0 1.0 0.0 28
user140 1.0 1.0 1.0 1.0 0.0 1.0 92
user260 1.0 1.0 1.0 0.0 1.0 1.0 10
user216 1.0 1.0 1.0 1.0 1.0 0.0 23
user507 0.0 0.0 1.0 0.0 1.0 1.0 4
user400 1.0 1.0 1.0 0.0 1.0 0.0 46
user425 1.0 1.0 1.0 1.0 1.0 1.0 9
user734 0.0 0.0 0.0 1.0 0.0 0.0 17
user694 0.0 0.0 1.0 0.0 1.0 0.0 2
user342 0.0 0.0 1.0 0.0 1.0 0.0 1
user331 1.0 1.0 1.0 1.0 1.0 1.0 98
user697 0.0 1.0 1.0 0.0 1.0 0.0 6
user144 1.0 1.0 0.0 1.0 0.0 0.0 11
user142 1.0 1.0 1.0 1.0 1.0 0.0 68
user1084 0.0 0.0 1.0 0.0 0.0 0.0 1
user511 0.0 1.0 1.0 0.0 1.0 0.0 4
user149 0.0 0.0 0.0 1.0 0.0 1.0 1
user145 1.0 1.0 0.0 1.0 0.0 0.0 16
user1098 0.0 0.0 1.0 0.0 1.0 0.0 1
user335 0.0 0.0 1.0 1.0 0.0 1.0 9
user909 0.0 0.0 1.0 0.0 1.0 0.0 1
user923 0.0 1.0 1.0 0.0 0.0 1.0 3
user996 0.0 1.0 1.0 0.0 0.0 0.0 1
user151 1.0 1.0 0.0 0.0 0.0 0.0 4
user298 1.0 1.0 1.0 1.0 1.0 1.0 132
user562 0.0 1.0 1.0 0.0 1.0 1.0 7
user238 1.0 1.0 1.0 1.0 1.0 0.0 97
user654 0.0 0.0 0.0 0.0 0.0 1.0 1
user560 0.0 1.0 1.0 0.0 1.0 1.0 3
user157 1.0 1.0 0.0 0.0 0.0 0.0 5
user158 0.0 0.0 1.0 0.0 0.0 0.0 1
user154 1.0 1.0 0.0 1.0 0.0 0.0 2
user172 0.0 0.0 1.0 0.0 0.0 0.0 2
user642 1.0 1.0 1.0 1.0 1.0 0.0 14
user160 0.0 0.0 1.0 0.0 0.0 0.0 1
user175 0.0 0.0 1.0 0.0 0.0 0.0 2
user358 0.0 0.0 0.0 1.0 0.0 0.0 12
user367 0.0 1.0 1.0 0.0 1.0 1.0 15
user188 1.0 0.0 1.0 0.0 0.0 1.0 4
user204 1.0 1.0 1.0 1.0 1.0 0.0 24
user168 0.0 0.0 1.0 0.0 0.0 0.0 1
user170 0.0 0.0 1.0 0.0 0.0 0.0 1
user173 0.0 0.0 1.0 0.0 0.0 0.0 1
user176 0.0 0.0 1.0 0.0 0.0 0.0 1
user177 0.0 0.0 1.0 0.0 0.0 0.0 1
user193 0.0 0.0 1.0 0.0 0.0 0.0 1
user1062 0.0 0.0 0.0 0.0 0.0 1.0 1
user651 0.0 0.0 1.0 0.0 1.0 0.0 1
user485 1.0 1.0 1.0 1.0 1.0 1.0 20
user179 0.0 0.0 0.0 0.0 0.0 1.0 1
user621 0.0 0.0 1.0 0.0 1.0 0.0 1
user180 1.0 1.0 0.0 1.0 0.0 0.0 16
user181 1.0 0.0 0.0 0.0 0.0 0.0 16
user831 0.0 0.0 0.0 1.0 0.0 1.0 1
user739 0.0 0.0 0.0 1.0 0.0 0.0 4
user184 1.0 1.0 1.0 1.0 0.0 1.0 18
user374 0.0 1.0 1.0 0.0 1.0 0.0 3
user183 1.0 1.0 0.0 1.0 0.0 0.0 11
user740 0.0 0.0 1.0 0.0 1.0 0.0 3
user903 0.0 0.0 0.0 0.0 0.0 1.0 1
user195 0.0 0.0 1.0 0.0 0.0 1.0 2
user867 1.0 1.0 0.0 0.0 0.0 0.0 1
user206 0.0 0.0 1.0 1.0 1.0 0.0 3
user189 1.0 1.0 0.0 0.0 0.0 0.0 4
user527 1.0 1.0 1.0 1.0 1.0 1.0 19
user616 0.0 0.0 1.0 0.0 0.0 0.0 3
user681 0.0 1.0 0.0 0.0 0.0 1.0 10
user194 1.0 1.0 1.0 1.0 1.0 1.0 88
