user cancelAuction bid createAuction session_count
user373 1.0 0.0 1.0 2
user374 0.0 0.0 1.0 1
user375 0.0 0.0 1.0 1
user376 1.0 0.0 1.0 7
user399 0.0 1.0 0.0 1
user404 0.0 1.0 0.0 2
user493 0.0 1.0 0.0 5
user378 1.0 0.0 1.0 1
user379 1.0 0.0 1.0 2
user380 1.0 0.0 1.0 1
user381 1.0 0.0 1.0 5
user382 1.0 0.0 1.0 7
user388 0.0 1.0 0.0 1
user383 1.0 0.0 1.0 2
user389 0.0 1.0 0.0 1
user384 1.0 0.0 1.0 2
user385 1.0 0.0 1.0 1
user386 1.0 0.0 1.0 1
user390 1.0 0.0 1.0 1
user391 0.0 0.0 1.0 1
user392 0.0 0.0 1.0 1
user393 0.0 1.0 1.0 4
user394 0.0 1.0 0.0 1
user397 1.0 1.0 1.0 6
user398 1.0 0.0 1.0 3
user692 0.0 1.0 0.0 2
user408 0.0 1.0 0.0 1
user413 0.0 1.0 0.0 2
user405 0.0 1.0 0.0 1
user473 0.0 1.0 0.0 2
user420 0.0 1.0 0.0 1
user400 1.0 0.0 1.0 1
user402 0.0 0.0 1.0 1
user452 0.0 1.0 0.0 1
user403 0.0 0.0 1.0 1
user407 0.0 1.0 0.0 1
user410 0.0 0.0 1.0 2
user618 0.0 1.0 0.0 1
user688 0.0 1.0 0.0 1
user687 0.0 1.0 0.0 1
user674 0.0 1.0 0.0 1
user696 0.0 1.0 0.0 1
user544 0.0 1.0 0.0 1
user668 0.0 1.0 0.0 1
user657 0.0 1.0 0.0 1
user672 0.0 1.0 0.0 1
user411 0.0 0.0 1.0 1
user414 0.0 0.0 1.0 1
user640 0.0 1.0 0.0 2
user416 0.0 0.0 1.0 1
user417 0.0 0.0 1.0 2
user489 1.0 0.0 1.0 1
user525 0.0 1.0 0.0 1
user418 0.0 0.0 1.0 1
user422 0.0 0.0 1.0 4
user637 0.0 1.0 0.0 1
user678 0.0 1.0 0.0 1
user670 0.0 1.0 0.0 1
user521 0.0 1.0 0.0 1
user423 1.0 0.0 1.0 1
user425 0.0 0.0 1.0 1
user427 0.0 0.0 1.0 1
user572 0.0 1.0 0.0 2
user429 0.0 0.0 1.0 1
user430 0.0 0.0 1.0 1
user431 0.0 0.0 1.0 1
user432 1.0 0.0 1.0 1
user433 0.0 0.0 1.0 4
user434 0.0 0.0 1.0 1
user435 0.0 0.0 1.0 3
user437 0.0 1.0 0.0 2
user436 0.0 1.0 1.0 1
user438 1.0 0.0 1.0 1
user439 0.0 0.0 1.0 2
user449 0.0 1.0 1.0 3
user440 0.0 0.0 1.0 1
user443 0.0 0.0 1.0 6
user445 0.0 1.0 0.0 1
user444 0.0 0.0 1.0 2
user455 1.0 1.0 1.0 9
user446 1.0 0.0 1.0 1
user448 0.0 0.0 1.0 2
user621 0.0 1.0 0.0 2
user450 0.0 0.0 1.0 21
user634 0.0 1.0 0.0 1
user461 0.0 1.0 0.0 3
user453 0.0 0.0 1.0 2
user488 0.0 1.0 0.0 1
user645 0.0 1.0 0.0 4
user478 0.0 1.0 0.0 1
user456 0.0 0.0 1.0 1
user457 0.0 1.0 1.0 5
user458 0.0 0.0 1.0 3
user459 1.0 0.0 1.0 2
user460 1.0 0.0 1.0 1
user462 0.0 0.0 1.0 1
user463 0.0 0.0 1.0 2
user625 0.0 1.0 1.0 1
user646 0.0 1.0 0.0 1
user464 1.0 0.0 1.0 1
user466 0.0 0.0 1.0 1
user467 0.0 1.0 0.0 1
user454 0.0 0.0 1.0 2
user468 1.0 0.0 1.0 3
